Name,Radius,x,y,z
Sun,12000,0,0,0
Mercury,382.5,57909.227,0,0
Venus,948.9,108209.475,0,0
Earth,1000,149598.023,0,0
Moon,272.4,149598.023,0,10610
Mars,532.5,227943.824,0,0
Phobos,1.8,227943.824,0,557.5
Deimos,1,227943.824,0,1119
Jupiter,11209.2,778340.821,0,0
Ganymede,413,778340.821,0,37969.2
Callisto,377.9,778340.821,0,58276.7
Io,285.6,778340.821,0,21751.7
Europa,244.7,778340.821,0,27986.7
Saturn,9449.4,1426666.422,0,0
Titan,403.7,1426666.422,0,39996.15
Enceladus,39.5,1426666.422,0,15399.4
Mimas,31,1426666.422,0,14087.9
Tethys,83.3,1426666.422,0,16816.15
Dione,88,1426666.422,0,18884.4
Rhea,119.9,1426666.422,0,22626.15
Uranus,4007.4,2870658.186,0,0
Titania,123.7,2870658.186,0,14905.15
Oberon,119.4,2870658.186,0,18595.4
Umbriel,91.7,2870658.186,0,10657.4
Ariel,90.8,2870658.186,0,8782.9
Neptune,3882.7,4498396.441,0,0
Triton,212.2,4498396.441,0,12751.7
Pluto,186.3,5906376.272,0,0
Charon,95,5906376.272,0,677.3
